"","LEI","SECTOR","SUBSECTOR"
"1","54930002A8LR1AAUCU78 ","CCP","EUCCP"
"2","724500937F740MHCX307","CCP","EUCCP"
"3","2594000K576D5CQXI987 ","CCP","EUCCP"
"4","529900LN3S50JPU47S06","CCP","EUCCP"
"5","8156006407E264D2C725","CCP","EUCCP"
"6","R1IO4YJ0O79SMWVCHB58","CCP","EUCCP"
"7","529900M6JY6PUZ9NTA71","CCP","EUCCP"
"8","529900MHIW6Z8OTOAH28","CCP","EUCCP"
"9","529900QF6QY66QULSI15","CCP","EUCCP"
"10","5299009QA8BBE2OOB349","CCP","EUCCP"
"11","5299001PSXO7X2JX4W10","CCP","EUCCP"
"12","7245003TLNC4R9XFDX32","CCP","EUCCP"
"13","213800IW53U9JMJ4QR40 ","CCP","EUCCP"
"14","747800E0OA8S9CM7RR46","CCP","EUCCP"
"15","54930002A8LR1AAUCU78","CCP","EUCCP"
"16","529900LN3S50JPU47S06","CCP","EUCCP"
"17","5299009QA8BBE2OOB349","CCP","EUCCP"
"18","2594000K576D5CQXI987 ","CCP","EUCCP"
"19","R1IO4YJ0O79SMWVCHB58","CCP","EUCCP"
"20","5299001PSXO7X2JX4W10 ","CCP","EUCCP"
"21","7245003TLNC4R9XFDX32","CCP","EUCCP"
"22","213800IW53U9JMJ4QR40 ","CCP","EUCCP"
"23","724500937F740MHCX307","CCP","EUCCP"
"24","529900QF6QY66QULSI15","CCP","EUCCP"
"25","8156006407E264D2C725","CCP","EUCCP"
"26","549300ZD7BBOVZFVHK49","CCP","T1CCP"
"27","549300JQL1BXTGCCGP11","CCP","T1CCP"
"28","213800NM8ZN1F16ARD34","CCP","T1CCP"
"29","213800WPJUJBAVXI5162","CCP","T1CCP"
"30","213800CKBBZUAHHARH83","CCP","T1CCP"
"31","213800NAOHHKRD9IHE35","CCP","T1CCP"
"32","549300JHM7D8P3TS4S86","CCP","T1CCP"
"33","353800016BHKLPQSXY33","CCP","T1CCP"
"34","549300CMH3J8ASUM8N29","CCP","T1CCP"
"35","549300ZLWT3FK3F0FW61","CCP","T1CCP"
"36","549300FKHU9M1PAGIO86","CCP","T1CCP"
"37","549300MZWLT9C8T4VI12","CCP","T1CCP"
"38","5493004XJK1P32XQLA57","CCP","T1CCP"
"39","549300T5G56HZH1I6F15","CCP","T1CCP"
"40","5493000C6JWJSISPU377","CCP","T1CCP"
"41","549300TJ3RRV6Q1UEW14","CCP","T1CCP"
"42","SNZ2OJLFK8MNNCLQOF39","CCP","T1CCP"
"43","T33OE4AS4QXXS2TT7X50","CCP","T1CCP"
"44","549300RGCVWZUN04IA69","CCP","T1CCP"
"45","549300HWWR1D8OTS2G29","CCP","T1CCP"
"46","549300RYC9NELN2ICA34","CCP","T1CCP"
"47","4GTK5S46E6H318LMDS44","CCP","T1CCP"
"48","549300LU7QHVE6ILLC47","CCP","T1CCP"
"49","549300P2ZLEW2OKT5733","CCP","T1CCP"
"50","F226TOH6YD6XJB17KS62","CCP","T2CCP"
"51","5R6J7JCQRIPQR1EEP713","CCP","T2CCP"
"52","213800L8AQD59D3JRW81","CCP","T1CCP"
"53","549300CII6SLYGKNHA04","CCP","T1CCP"
"54","549300H47WTHXPU08X20","CCP","T1CCP"
"55","549300OO5RDECUYL6P03","CCP","T1CCP"
"56","3003009OCN1WA6ED1054","CCP","T1CCP"
"57","549300RY3Q0YLHMEXM25","CCP","T1CCP"
"58","549300J778QS7XTS7440","CCP","T1CCP"
"59","254900ZOYULOJ1V1KD30","CCP","T1CCP"
"60","213800WG3A9RJ78EGT48","CCP","T1CCP"
"61","2549003ZAGGN05O7X242","CCP","T1CCP"
